product.partNumber,location.locationIdentifier,startDate,duration,planParentType,planType,quantity,quantityUnits,planningCycle,source,sourceLink
CO-AM-S185,LT-2,2021-08-06,1,OPEN_ORDER,OUTBOUND,158,EA,,ERP,http://lighttree.com/CO-AM-S185
CO-AM-S185,LT-2,2021-08-10,1,OPEN_ORDER,OUTBOUND,344,EA,,ERP,http://lighttree.com/CO-AM-S185
CO-AM-S185,LT-2,2021-08-11,1,OPEN_ORDER,OUTBOUND,92,EA,,ERP,http://lighttree.com/CO-AM-S185
CO-AM-S393,LT-2,2021-08-06,1,OPEN_ORDER,OUTBOUND,189,EA,,ERP,http://lighttree.com/CO-AM-S393
CO-AM-S393,LT-2,2021-08-10,1,OPEN_ORDER,OUTBOUND,348,EA,,ERP,http://lighttree.com/CO-AM-S393
CO-AM-S393,LT-2,2021-08-11,1,OPEN_ORDER,OUTBOUND,153,EA,,ERP,http://lighttree.com/CO-AM-S393
CO-CO-M328,LT-2,2021-08-06,1,OPEN_ORDER,OUTBOUND,149,EA,,ERP,http://lighttree.com/CO-CO-M328
CO-CO-M328,LT-2,2021-08-10,1,OPEN_ORDER,OUTBOUND,54,EA,,ERP,http://lighttree.com/CO-CO-M328
CO-CO-M328,LT-2,2021-08-11,1,OPEN_ORDER,OUTBOUND,259,EA,,ERP,http://lighttree.com/CO-CO-M328
CO-DL-A230,LT-2,2021-08-06,1,OPEN_ORDER,OUTBOUND,98,EA,,ERP,http://lighttree.com/CO-DL-A230
CO-DL-A239,LT-2,2021-08-06,1,OPEN_ORDER,OUTBOUND,171,EA,,ERP,http://lighttree.com/CO-DL-A239
CO-DL-A239,LT-2,2021-08-10,1,OPEN_ORDER,OUTBOUND,75,EA,,ERP,http://lighttree.com/CO-DL-A239
CO-DL-A239,LT-2,2021-08-11,1,OPEN_ORDER,OUTBOUND,154,EA,,ERP,http://lighttree.com/CO-DL-A239
CO-DL-T316,LT-2,2021-08-06,1,OPEN_ORDER,OUTBOUND,249,EA,,ERP,http://lighttree.com/CO-DL-T316
CO-DL-T316,LT-2,2021-08-10,1,OPEN_ORDER,OUTBOUND,137,EA,,ERP,http://lighttree.com/CO-DL-T316
CO-DL-T316,LT-2,2021-08-11,1,OPEN_ORDER,OUTBOUND,151,EA,,ERP,http://lighttree.com/CO-DL-T316
CO-RD-I380,LT-2,2021-08-11,1,OPEN_ORDER,OUTBOUND,61,EA,,ERP,http://lighttree.com/CO-RD-I380
