orderIdentifier,orderLineNumber,orderType,product.partNumber,shipFromInstructionLocation.locationIdentifier,shipToLocation.locationIdentifier,status,createdDate,requestedShipDate,requestedDeliveryDate,plannedShipDate,plannedDeliveryDate,quantity,quantityUnits,productValue,value,valueCurrency,shipmentCount
100044323,100,OUTBOUND,PS-SL-B122,LT-2,FAA - Washington,,2021-07-20T00:00:00,2021-08-31T00:00:00,2021-09-06T00:00:00,2021-09-03T00:00:00,2021-09-06T00:00:00,250,EA,1250,312500,USD,
100044323,200,OUTBOUND,PS-SL-KIT,LT-2,FAA - Washington,,2021-07-20T00:00:00,2021-08-31T00:00:00,2021-09-06T00:00:00,2021-09-03T00:00:00,2021-09-06T00:00:00,250,EA,0,0,USD,
100044323,300,OUTBOUND,PS-SL-INFO,LT-2,FAA - Washington,,2021-07-20T00:00:00,2021-08-31T00:00:00,2021-09-06T00:00:00,2021-09-03T00:00:00,2021-09-06T00:00:00,250,EA,0,0,USD,
100044324,100,OUTBOUND,PS-SL-F343,LT-2,FAA - Washington,,2021-07-20T00:00:00,2021-08-19T00:00:00,2021-08-22T00:00:00,2021-08-19T00:00:00,2021-08-22T00:00:00,132,EA,1250,165000,USD,
100044324,200,OUTBOUND,PS-SL-KIT,LT-2,FAA - Washington,,2021-07-20T00:00:00,2021-08-19T00:00:00,2021-08-22T00:00:00,2021-08-19T00:00:00,2021-08-22T00:00:00,132,EA,0,0,USD,
100044324,300,OUTBOUND,PS-SL-INFO,LT-2,FAA - Washington,,2021-07-20T00:00:00,2021-08-19T00:00:00,2021-08-22T00:00:00,2021-08-19T00:00:00,2021-08-22T00:00:00,132,EA,0,0,USD,
100044325,100,OUTBOUND,PS-SL-F342,LT-2,COLA - Los Alamos,,2021-07-11T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,44,EA,1250,55000,USD,
100044325,200,OUTBOUND,PS-SL-KIT,LT-2,COLA - Los Alamos,,2021-07-11T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,44,EA,0,0,USD,
100044325,300,OUTBOUND,PS-SL-INFO,LT-2,COLA - Los Alamos,,2021-07-11T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,44,EA,0,0,USD,
100044326,100,OUTBOUND,PS-SL-A288,LT-2,COLA - Los Alamos,,2021-07-11T00:00:00,2021-08-02T00:00:00,2021-08-10T00:00:00,2021-08-02T00:00:00,2021-08-10T00:00:00,12,EA,1250,15000,USD,
100044326,200,OUTBOUND,PS-SL-KIT,LT-2,COLA - Los Alamos,,2021-07-11T00:00:00,2021-08-02T00:00:00,2021-08-10T00:00:00,2021-08-02T00:00:00,2021-08-10T00:00:00,12,EA,0,0,USD,
100044326,300,OUTBOUND,PS-SL-INFO,LT-2,COLA - Los Alamos,,2021-07-11T00:00:00,2021-08-02T00:00:00,2021-08-10T00:00:00,2021-08-02T00:00:00,2021-08-10T00:00:00,12,EA,0,0,USD,
100044327,100,OUTBOUND,PS-SL-A288,LT-2,COLA - Los Alamos,,2021-07-11T00:00:00,2021-08-02T00:00:00,2021-08-10T00:00:00,2021-08-02T00:00:00,2021-08-10T00:00:00,12,EA,1250,15000,USD,
100044327,200,OUTBOUND,PS-SL-KIT,LT-2,COLA - Los Alamos,,2021-07-11T00:00:00,2021-08-02T00:00:00,2021-08-10T00:00:00,2021-08-02T00:00:00,2021-08-10T00:00:00,12,EA,0,0,USD,
100044327,300,OUTBOUND,PS-SL-INFO,LT-2,COLA - Los Alamos,,2021-07-11T00:00:00,2021-08-02T00:00:00,2021-08-10T00:00:00,2021-08-02T00:00:00,2021-08-10T00:00:00,12,EA,0,0,USD,
100044328,100,OUTBOUND,PS-SL-H309,LT-2,QPWD - Ville de Québec,,2021-07-07T00:00:00,2021-07-29T00:00:00,2021-08-04T00:00:00,2021-07-29T00:00:00,2021-08-04T00:00:00,56,EA,1250,70000,USD,
100044328,200,OUTBOUND,PS-SL-KIT,LT-2,QPWD - Ville de Québec,,2021-07-07T00:00:00,2021-07-29T00:00:00,2021-08-04T00:00:00,2021-07-29T00:00:00,2021-08-04T00:00:00,56,EA,0,0,USD,
