orderIdentifier,orderType,vendor.organizationIdentifier,buyer.organizationIdentifier,shipFromInstructionLocation.locationIdentifier,shipToLocation.locationIdentifier,orderStatus,createdDate,requestedShipDate,requestedDeliveryDate,plannedShipDate,plannedDeliveryDate,quantity,quantityUnits,totalValue,orderValueCurrency,lineCount,totalShippedQuantity,exclude,sourceLink
100044349,OUTBOUND,LightTree,AHTD,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-20T00:00:00,2021-07-30T00:00:00,2021-07-23T00:00:00,2021-07-30T00:00:00,189,EA,236250.00,USD,3,,,http://lighttree.com/100044349
100044350,OUTBOUND,LightTree,AHTD,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-23T00:00:00,2021-07-30T00:00:00,2021-07-23T00:00:00,2021-07-30T00:00:00,20,EA,25000.00,USD,3,,,http://lighttree.com/100044350
100044353,OUTBOUND,LightTree,AHTD,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-13T00:00:00,2021-07-30T00:00:00,2021-07-23T00:00:00,2021-07-30T00:00:00,212,EA,265000.00,USD,3,,,http://lighttree.com/100044353
100055001,OUTBOUND,LightTree,AHTD,LT-2,AHTD - Bentonville,,2017-07-11T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,761,EA,59473.00,USD,3,,,http://lighttree.com/100055001
100055003,OUTBOUND,LightTree,AHTD,LT-2,AHTD - Bentonville,,2017-07-20T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,520,EA,47438.00,USD,3,,,http://lighttree.com/100055003
100044351,OUTBOUND,LightTree,AHTD,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-08T00:00:00,2021-07-15T00:00:00,68,EA,85000.00,USD,3,,,http://lighttree.com/100044351
100044352,OUTBOUND,LightTree,AHTD,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-08T00:00:00,2021-07-17T00:00:00,74,EA,92500.00,USD,3,,,http://lighttree.com/100044352
100044354,OUTBOUND,LightTree,AHTD,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-06-30T00:00:00,2021-07-07T00:00:00,2021-06-30T00:00:00,2021-07-07T00:00:00,208,EA,260000.00,USD,3,,,http://lighttree.com/100044354
100044355,OUTBOUND,LightTree,AHTD,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-06-30T00:00:00,2021-07-07T00:00:00,2021-06-30T00:00:00,2021-07-07T00:00:00,400,EA,500000.00,USD,3,,,http://lighttree.com/100044355
100044343,OUTBOUND,LightTree,CALTRAN,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-26T00:00:00,2021-08-03T00:00:00,2021-07-26T00:00:00,2021-08-03T00:00:00,22,EA,27500.00,USD,3,,,http://lighttree.com/100044343
100044344,OUTBOUND,LightTree,CALTRAN,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-28T00:00:00,2021-08-03T00:00:00,2021-07-26T00:00:00,2021-08-03T00:00:00,302,EA,377500.00,USD,3,,,http://lighttree.com/100044344
100055000,OUTBOUND,LightTree,CALTRAN,LT-2,CALTRAN - San Diego,,2017-07-20T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,228,EA,20084.00,USD,3,,,http://lighttree.com/100055000
100055002,OUTBOUND,LightTree,CALTRAN,LT-2,CALTRAN - San Diego,,2017-07-07T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,363,EA,29093.00,USD,3,,,http://lighttree.com/100055002
100055005,OUTBOUND,LightTree,CALTRAN,LT-2,CALTRAN - San Diego,,2017-07-07T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,154,EA,14735.00,USD,3,,,http://lighttree.com/100055005
100055007,OUTBOUND,LightTree,CALTRAN,LT-2,CALTRAN - San Diego,,2017-07-11T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,655,EA,49240.00,USD,3,,,http://lighttree.com/100055007
