shipment.shipmentIdentifier,shipmentLineNumber,shipment.shipmentType,order.orderIdentifier,orderLine.orderLineNumber,dateCreated,quantity,quantityUnits,value,valueCurrency
3004539,100,OUTBOUND,100044355,100,2021-07-05T00:00:00,400,EA,500000,USD
3004539,200,OUTBOUND,100044355,200,2021-07-05T00:00:00,400,EA,0,USD
3004539,300,OUTBOUND,100044355,300,2021-07-05T00:00:00,400,EA,0,USD
3004540,100,OUTBOUND,100044354,100,2021-07-05T00:00:00,208,EA,260000,USD
3004540,200,OUTBOUND,100044354,200,2021-07-05T00:00:00,208,EA,0,USD
3004540,300,OUTBOUND,100044354,300,2021-07-05T00:00:00,208,EA,0,USD
3004542,100,OUTBOUND,100044352,100,2021-07-13T00:00:00,74,EA,92500,USD
3004542,200,OUTBOUND,100044352,200,2021-07-13T00:00:00,74,EA,0,USD
3004542,300,OUTBOUND,100044352,300,2021-07-13T00:00:00,74,EA,0,USD
3004543,100,OUTBOUND,100044351,100,2021-07-13T00:00:00,68,EA,85000,USD
3004543,200,OUTBOUND,100044351,200,2021-07-13T00:00:00,68,EA,0,USD
3004543,300,OUTBOUND,100044351,300,2021-07-13T00:00:00,68,EA,0,USD
3004546,100,OUTBOUND,100044348,100,2021-07-17T00:00:00,54,EA,67500,USD
3004546,200,OUTBOUND,100044348,200,2021-07-17T00:00:00,54,EA,0,USD
3004546,300,OUTBOUND,100044348,300,2021-07-17T00:00:00,54,EA,0,USD
3004547,100,OUTBOUND,100044347,100,2021-07-17T00:00:00,645,EA,806250,USD
3004547,200,OUTBOUND,100044347,200,2021-07-17T00:00:00,645,EA,0,USD
3004547,300,OUTBOUND,100044347,300,2021-07-17T00:00:00,645,EA,0,USD
3004548,100,OUTBOUND,100044346,100,2021-07-09T00:00:00,59,EA,73750,USD
3004548,200,OUTBOUND,100044346,200,2021-07-09T00:00:00,59,EA,0,USD
3004548,300,OUTBOUND,100044346,300,2021-07-09T00:00:00,59,EA,0,USD
3004549,100,OUTBOUND,100044345,100,2021-07-09T00:00:00,22,EA,27500,USD
3004549,200,OUTBOUND,100044345,200,2021-07-09T00:00:00,22,EA,0,USD
3004549,300,OUTBOUND,100044345,300,2021-07-09T00:00:00,22,EA,0,USD
3004552,100,OUTBOUND,100044342,100,2021-07-09T00:00:00,320,EA,400000,USD
