shipmentIdentifier,shipmentType,shipFromLocation.locationIdentifier,shipToLocation.locationIdentifier,vendor.organizationIdentifier,buyer.organizationIdentifier,carrier.organizationIdentifier,status,dateCreated,requestedTimeOfArrival,committedTimeOfArrival,actualShipDate,estimatedTimeOfArrival,revisedEstimatedTimeOfArrival,predictedTimeOfArrival,actualTimeOfArrival,lineCount,weight,weightUnits,currentLocationCoordinates,currentRegion,transportMode,houseAirwayBill,parcelTrackingNumber,airwayMasterNumber,billOfLadingNumber,proNumber,manifest,exclude,sourceLink
3004555,OUTBOUND,LT-1,NYDOT - New Rochelle,LightTree,NYDOT,TranEx,,2021-07-09T00:00:00,2021-07-19T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-20T00:00:00,,,2021-07-19T00:00:00,,,,,US-East,Truck,,1Z0264920233,,,,,,http://lighttree.com/3004555
3004554,OUTBOUND,LT-1,NYDOT - New Rochelle,LightTree,NYDOT,TranEx,,2021-07-09T00:00:00,2021-07-19T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-20T00:00:00,,,2021-07-19T00:00:00,,,,,US-East,Truck,,1Z61566406245,,,,,,http://lighttree.com/3004554
3004553,OUTBOUND,LT-1,NYDOT - New Rochelle,LightTree,NYDOT,TranEx,,2021-07-01T00:00:00,2021-07-11T00:00:00,2021-07-11T00:00:00,2021-07-07T00:00:00,2021-07-11T00:00:00,,,2021-07-11T00:00:00,,,,,US-East,Truck,,1Z66916635689,,,,,,http://lighttree.com/3004553
3004552,OUTBOUND,LT-1,NYDOT - New Rochelle,LightTree,NYDOT,TranEx,,2021-07-01T00:00:00,2021-07-11T00:00:00,2021-07-11T00:00:00,2021-07-10T00:00:00,2021-07-11T00:00:00,,,2021-07-11T00:00:00,,,,,US-East,Truck,,1Z84855380152,,,,,,http://lighttree.com/3004552
3004549,OUTBOUND,LT-1,CALTRAN - San Diego,LightTree,CALTRAN,RPS,,2021-07-01T00:00:00,2021-07-11T00:00:00,2021-07-11T00:00:00,2021-07-03T00:00:00,2021-07-11T00:00:00,,,2021-07-11T00:00:00,,,,,US-West,Truck,,1Z40905045952,,,,,,http://lighttree.com/3004549
3004548,OUTBOUND,LT-1,CALTRAN - San Diego,LightTree,CALTRAN,RPS,,2021-07-01T00:00:00,2021-07-11T00:00:00,2021-07-11T00:00:00,2021-07-03T00:00:00,2021-07-11T00:00:00,,,2021-07-09T00:00:00,,,,,US-West,Truck,,1Z26727337844,,,,,,http://lighttree.com/3004548
3004547,OUTBOUND,LT-1,CALTRAN - San Diego,LightTree,CALTRAN,RPS,,2021-07-09T00:00:00,2021-07-19T00:00:00,2021-07-18T00:00:00,2021-07-11T00:00:00,2021-07-19T00:00:00,,2021-07-18T00:00:00,,,,,,US-West,Truck,,1Z58114235253,,,,,,http://lighttree.com/3004547
3004546,OUTBOUND,LT-1,CALTRAN - San Diego,LightTree,CALTRAN,RPS,,2021-07-09T00:00:00,2021-07-19T00:00:00,2021-07-20T00:00:00,2021-07-10T00:00:00,2021-07-20T00:00:00,,2021-07-21T00:00:00,,,,,,US-West,Truck,,1Z40789424977,,,,,,http://lighttree.com/3004546
3004543,OUTBOUND,LT-1,AHTD - Bentonville,LightTree,AHTD,RPS,,2021-07-05T00:00:00,2021-07-15T00:00:00,2021-07-16T00:00:00,2021-07-08T00:00:00,2021-07-15T00:00:00,,,2021-07-17T00:00:00,,,,,US-South,Truck,,1Z76584940478,,,,,,http://lighttree.com/3004543
3004542,OUTBOUND,LT-1,AHTD - Bentonville,LightTree,AHTD,RPS,,2021-07-05T00:00:00,2021-07-15T00:00:00,2021-07-15T00:00:00,2021-07-08T00:00:00,2021-07-15T00:00:00,,,2021-07-15T00:00:00,,,,,US-South,Truck,,1Z66136934522,,,,,,http://lighttree.com/3004542
