product.partNumber,location.locationIdentifier,startDate,duration,planParentType,planType,quantity,quantityUnits,planningCycle,source,sourceLink
CO-AM-S185,LT-2,2021-08-07,1,PO_PLACED,INBOUND,350,EA,,ERP,http://lighttree.com/CO-AM-S185
CO-AM-S185,LT-2,2021-08-19,1,PO_PLACED,INBOUND,350,EA,,ERP,http://lighttree.com/CO-AM-S185
CO-AM-S185,LT-2,2021-08-27,1,PO_PLACED,INBOUND,350,EA,,ERP,http://lighttree.com/CO-AM-S185
CO-AM-S185,LT-2,2021-09-06,1,PO_PLACED,INBOUND,350,EA,,ERP,http://lighttree.com/CO-AM-S185
CO-AM-S185,LT-2,2021-09-12,1,PO_PLACED,INBOUND,350,EA,,ERP,http://lighttree.com/CO-AM-S185
CO-AM-S185,LT-2,2021-09-26,1,PO_PLACED,INBOUND,350,EA,,ERP,http://lighttree.com/CO-AM-S185
CO-AM-S393,LT-2,2021-08-07,1,PO_PLACED,INBOUND,350,EA,,ERP,http://lighttree.com/CO-AM-S393
CO-AM-S393,LT-2,2021-08-17,1,PO_PLACED,INBOUND,350,EA,,ERP,http://lighttree.com/CO-AM-S393
CO-AM-S393,LT-2,2021-08-27,1,PO_PLACED,INBOUND,350,EA,,ERP,http://lighttree.com/CO-AM-S393
CO-AM-S393,LT-2,2021-09-06,1,PO_PLACED,INBOUND,350,EA,,ERP,http://lighttree.com/CO-AM-S393
CO-AM-S393,LT-2,2021-09-12,1,PO_PLACED,INBOUND,350,EA,,ERP,http://lighttree.com/CO-AM-S393
CO-AM-S393,LT-2,2021-09-26,1,PO_PLACED,INBOUND,350,EA,,ERP,http://lighttree.com/CO-AM-S393
CO-CO-M328,LT-2,2021-08-07,1,PO_PLACED,INBOUND,350,EA,,ERP,http://lighttree.com/CO-CO-M328
CO-CO-M328,LT-2,2021-08-17,1,PO_PLACED,INBOUND,350,EA,,ERP,http://lighttree.com/CO-CO-M328
